,Title,Budget
1678,American Outlaws,35000000
1679,Zoom,35000000
1680,The Shipping News,35000000
1681,The Young Victoria,35000000
1682,Sabotage,35000000
1683,Knock Off,35000000
1684,Whiteout,35000000
1685,Unfinished Business,35000000
1686,The Walk,35000000
1687,The Fountain,35000000
1688,Mandela: Long Walk to Freedom,35000000
1689,Punisher: War Zone,35000000
1690,The Order,35000000
1691,A Good Year,35000000
1692,The Brothers Grimsby,35000000
1693,The Snowman,35000000
1694,Femme Fatale,35000000
1695,Warriors of Virtue,35000000
1696,Luther,35000000
1697,Biutiful,35000000
1698,Radio Flyer,35000000
1699,Bound by Honor,35000000
1700,A Hologram for the King,35000000
1701,"""Smillas Sense of Snow""",35000000
1702,Playing for Keeps,35000000
1703,Lion of the Desert,35000000
1704,Le hussard sur le toit,35000000
1705,Ride With the Devil,35000000
1706,Stolen,35000000
1707,Trespass,35000000
1708,Bandidas,35000000
1709,The Lovers,35000000
1710,Black Water Transit,35000000
1711,The Darkest Hour,34800000
1712,Baby Driver,34000000
1713,The Maze Runner,34000000
1714,The Longest Ride,34000000
1715,The Age of Innocence,34000000
1716,Gake no ue no Ponyo,34000000
1717,Chill Factor,34000000
1718,"""The Astronauts Wife""",34000000
1719,I Dreamed of Africa,34000000
1720,Thunder and the House of Magic,34000000
1721,Reds,33500000
1722,A Few Good Men,33000000
1723,"""Big Mommas House""",33000000
1724,Exit Wounds,33000000
1725,Mike and Dave Need Wedding Dates,33000000
1726,Step Up Revolution,33000000
1727,Snakes on a Plane,33000000
1728,The Punisher,33000000
1729,The Watcher,33000000
1730,Safe,33000000
1731,Doomsday,33000000
1732,Pushing Tin,33000000
1733,Goal! The Dream Begins,33000000
1734,The Young and Prodigious T.S. Spivet,33000000
1735,Freaks of Nature,33000000
1736,Star Wars Ep. VI: Return of the Jedi,32500000
1737,Bridesmaids,32500000
1738,The Reader,32500000
1739,The Big Wedding,32500000
1740,Wanderlust,32500000
1741,Elf,32000000
1742,Phenomenon,32000000
1743,This is the End,32000000
1744,Snow Dogs,32000000
1745,Nacho Libre,32000000
1746,Scrooged,32000000
1747,Takers,32000000
1748,Source Code,32000000
1749,Stigmata,32000000
1750,Men of Honor,32000000
1751,I Feel Pretty,32000000
1752,The Transporter 2,32000000
1753,Big Mommas: Like Father Like Son,32000000
1754,Alive,32000000
1755,The Number 23,32000000
1756,1941,32000000
1757,Dreamer: Inspired by a True Story,32000000
1758,A History of Violence,32000000
1759,The Incredible Burt Wonderstone,32000000
1760,The Quick and the Dead,32000000
1761,Laws of Attraction,32000000
1762,Going the Distance,32000000
1763,Bad Times at the El Royale,32000000
1764,Bringing Out The Dead,32000000
1765,Repo Men,32000000
1766,Dragon Wars: D-War,32000000
1767,Bogus,32000000
1768,"""Cats Dont Dance""",32000000
1769,Cradle Will Rock,32000000
1770,The Good German,32000000
1771,George and the Dragon,32000000
1772,Apocalypse Now,31500000
1773,Criminal,31500000
1774,Flight,31000000
1775,Mr. Hollandâ\x80\x99s Opus,31000000
1776,Out of Africa,31000000
1777,Moonraker,31000000
1778,The Grand Budapest Hotel,31000000
1779,Vacation,31000000
1780,Arachnophobia,31000000
1781,Frequency,31000000
1782,Hearts in Atlantis,31000000
1783,Extraordinary Measures,31000000
1784,Birth of the Dragon,31000000
1785,Get Shorty,30250000
1786,Ghostbusters,30000000
1787,Toy Story,30000000
1788,Crazy Rich Asians,30000000
1789,Chicago,30000000
1790,Big Daddy,30000000
1791,American Pie 2,30000000
1792,The Vow,30000000
1793,Speed,30000000
1794,The Hunt for Red October,30000000
1795,"""Lee Daniels The Butler""",30000000
1796,Remember the Titans,30000000
1797,District 9,30000000
1798,Dodgeball: A True Underdog Story,30000000
1799,The Addams Family,30000000
1800,Ace Ventura: When Nature Calls,30000000
1801,The Princess Diaries,30000000
1802,Analyze This,30000000
1803,The First Wives Club,30000000
1804,Million Dollar Baby,30000000
1805,Se7en,30000000
1806,Mystic River,30000000
1807,Sisters,30000000
1808,Pokemon: The First Movie,30000000
1809,SpongeBob SquarePants: The Movie,30000000
1810,Up in the Air,30000000
1811,The Notebook,30000000
1812,Hannah Montana the Movie,30000000
1813,27 Dresses,30000000
1814,Rugrats in Paris,30000000
1815,The Hitmanâ\x80\x99s Bodyguard,30000000
1816,The Prince of Tides,30000000
1817,Four Brothers,30000000
1818,Legends of the Fall,30000000
1819,Looper,30000000
1820,Warm Bodies,30000000
1821,About Schmidt,30000000
1822,The Nut Job,30000000
1823,Down to Earth,30000000
1824,Babe,30000000
1825,Hope Springs,30000000
1826,Forgetting Sarah Marshall,30000000
1827,Friday Night Lights,30000000
1828,Harlem Nights,30000000
1829,Baby Mama,30000000
1830,Hope Floats,30000000
1831,Bride Wars,30000000
1832,Without a Paddle,30000000
1833,Midnight in Paris,30000000
1834,Darkest Hour,30000000
1835,Wallace & Gromit: The Curse of the Were-Rabbit,30000000
1836,P.S. I Love You,30000000
1837,Corpse Bride,30000000
1838,Letters to Juliet,30000000
1839,Blow,30000000
1840,Message in a Bottle,30000000
1841,Life of the Party,30000000
1842,Southpaw,30000000
1843,Star Trek V: The Final Frontier,30000000
1844,Atomic Blonde,30000000
1845,Like Mike,30000000
1846,Naked Gun 33 1/3: The Final Insult,30000000
1847,Atonement,30000000
1848,A View to a Kill,30000000
1849,Racing Stripes,30000000
1850,Sicario,30000000
1851,Black Rain,30000000
1852,Den of Thieves,30000000
1853,The Three Stooges,30000000
1854,Pokemon 2000,30000000
1855,John Wick,30000000
1856,Glory Road,30000000
1857,The Age of Adaline,30000000
1858,Step Up 3D,30000000
1859,Drag Me To Hell,30000000
1860,The Cabin in the Woods,30000000
1861,Secondhand Lions,30000000
1862,Stranger Than Fiction,30000000
1863,Hanna,30000000
1864,Blue Crush,30000000
1865,30 Days of Night,30000000
1866,Little Shop of Horrors,30000000
1867,Gridiron Gang,30000000
1868,Midnight Run,30000000
1869,Meet the Spartans,30000000
1870,The Running Man,30000000
1871,The Family,30000000
1872,The 15:17 to Paris,30000000
1873,Mortal Kombat: Annihilation,30000000
1874,Larry Crowne,30000000
1875,Carrie,30000000
1876,Take the Lead,30000000
1877,Death Wish,30000000
1878,Love and Other Drugs,30000000
1879,Entourage,30000000
1880,"""Whats the Worst That Could Happen?""",30000000
1881,Side Effects,30000000
1882,9,30000000
1883,Deliver Us from Evil,30000000
1884,Get on Up,30000000
1885,Mollyâ\x80\x99s Game,30000000
1886,The Five-Year Engagement,30000000
1887,The Prince & Me,30000000
1888,Winnie the Pooh,30000000
1889,Bulworth,30000000
1890,Dumb and Dumberer: When Harry Met Lloyd,30000000
1891,White Boy Rick,30000000
1892,Virtuosity,30000000
1893,One True Thing,30000000
1894,Sanctum,30000000
1895,My Super Ex-Girlfriend,30000000
1896,Ballerina,30000000
1897,Mr. 3000,30000000
1898,The Next Three Days,30000000
1899,Proud Mary,30000000
1900,Little Black Book,30000000
1901,Assault On Precinct 13,30000000
1902,Runner Runner,30000000
1903,The Replacement Killers,30000000
1904,Baahubali 2: The Conclusion,30000000
1905,Ultraviolet,30000000
1906,North Country,30000000
1907,Fright Night,30000000
1908,mother!,30000000
1909,Steve Jobs,30000000
1910,Eight Legged Freaks,30000000
1911,Fled,30000000
1912,Splice,30000000
1913,88 Minutes,30000000
1914,The Whole Ten Yards,30000000
1915,Howard the Duck,30000000
1916,Pride and Glory,30000000
1917,The Cave,30000000
1918,Godsend,30000000
1919,Alex & Emma,30000000
1920,Wicker Park,30000000
1921,The New World,30000000
1922,Evening,30000000
1923,The Last Stand,30000000
1924,In Dreams,30000000
1925,Wing Commander,30000000
1926,Antitrust,30000000
1927,Dead Man Down,30000000
1928,Hoodwinked Too: Hood vs. Evil,30000000
1929,Dragonball Evolution,30000000
1930,First Daughter,30000000
1931,The Lost City of Z,30000000
1932,An Unfinished Life,30000000
1933,The Space Between Us,30000000
1934,The Imaginarium of Doctor Parnassus,30000000
1935,"""Barneys Version""",30000000
1936,Trapped,30000000
1937,Kin,30000000
1938,Once Upon a Time in America,30000000
1939,Gloria,30000000
1940,The Assassination of Jesse James by the Coward Robert Ford,30000000
1941,The Merchant of Venice,30000000
1942,The Good Thief,30000000
1943,Supercross,30000000
1944,Miss Potter,30000000
1945,Wu ji,30000000
1946,Machine Gun Preacher,30000000
1947,Bilal: A New Breed of Hero,30000000
1948,DOA: Dead or Alive,30000000
1949,Le Petit Nicolas,30000000
1950,Xinhai geming,30000000
1951,Genghis Khan: To the Ends of the Earth and Sea,30000000
1952,Wild Card,30000000
1953,United Passions,30000000
1954,Konferenz der Tiere,30000000
1955,Grace of Monaco,30000000
1956,Savva. Serdtse voyna,30000000
1957,Goodbye Bafana,30000000
1958,Space Pirate Captain Harlock,30000000
1959,"""Ripleys Game""",30000000
1960,Collide,29200000
1961,Pitch Perfect 2,29000000
1962,Walk the Line,29000000
1963,Night School,29000000
1964,The Boss,29000000
1965,Twelve Monkeys,29000000
1966,Once Upon a Time in Mexico,29000000
1967,Keeping the Faith,29000000
1968,Logan Lucky,29000000
1969,Florence Foster Jenkins,29000000
1970,The Borrowers,29000000
1971,Frost/Nixon,29000000
1972,Seed of Chucky,29000000
1973,Serving Sara,29000000
1974,Confessions of a Dangerous Mind,29000000
1975,Taking Woodstock,29000000
1976,Cry Freedom,29000000
1977,Green Book,28900000
1978,Mumford,28700000
1979,The Jacket,28500000
1980,Aladdin,28000000
1981,Indiana Jones and the Temple of Doom,28000000
1982,Straight Outta Compton,28000000
1983,Girls Trip,28000000
1984,The Rugrats Movie,28000000
1985,Die Hard,28000000
1986,Along Came a Spider,28000000
1987,A Bad Moms Christmas,28000000
1988,Safe Haven,28000000
1989,The Big Short,28000000
1990,Role Models,28000000
1991,Alexander and the Terrible Horrible No Good Very Bad Day,28000000
1992,Miracle,28000000
1993,Last Vegas,28000000
1994,The Wedding Planner,28000000
1995,Dawn of the Dead,28000000
1996,For Your Eyes Only,28000000
1997,Tag,28000000
1998,The Royal Tenenbaums,28000000
1999,Identity,28000000
2000,Serendipity,28000000
2001,Kick-Ass,28000000
2002,Zoolander,28000000
2003,Timecop,28000000
2004,No Reservations,28000000
2005,Hocus Pocus,28000000
2006,Pride & Prejudice,28000000
2007,30 Minutes or Less,28000000
2008,Dracula 2000,28000000
2009,Blade Runner,28000000
2010,Rob Roy,28000000
2011,3 Days to Kill,28000000
2012,Kick-Ass 2,28000000
2013,We Own the Night,28000000
2014,A Walk Among the Tombstones,28000000
2015,The Spy Next Door,28000000
2016,Brick Mansions,28000000
2017,Just My Luck,28000000
2018,Lost Souls,28000000
2019,American Ultra,28000000
2020,Winged Migration,28000000
2021,Pride and Prejudice and Zombies,28000000
2022,Mystery Alaska,28000000
2023,"""John Carpenters Ghosts of Mars""",28000000
2024,A Simple Wish,28000000
2025,Our Brand is Crisis,28000000
2026,Kundun,28000000
2027,How to Lose Friends & Alienate People,28000000
2028,Alatriste,28000000
2029,Knocked Up,27500000
2030,Octopussy,27500000
2031,"""My Sisters Keeper""",27500000
2032,Welcome Home Roscoe Jenkins,27500000
2033,Joyful Noise,27500000
2034,A Passage to India,27500000
2035,Notes on a Scandal,27500000
2036,Rendition,27500000
2037,Anonymous,27500000
2038,Limitless,27000000
2039,Star Trek VI: The Undiscovered Country,27000000
2040,The Divine Secrets of the Ya-Ya Sisterhood,27000000
2041,Kiss the Girls,27000000
2042,The Blues Brothers,27000000
2043,The Jungle Book,27000000
2044,The Sisterhood of the Traveling Pants 2,27000000
2045,Money Monster,27000000
2046,About a Boy,27000000
2047,Spy Kids: All the Time in the World,27000000
2048,Lake Placid,27000000
2049,Lucky Number Slevin,27000000
2050,The Right Stuff,27000000
2051,Die Unendliche Geschichte,27000000
2052,Dark City,27000000
2053,The Duchess,27000000
2054,Case 39,27000000
2055,The Honeymooners,27000000
2056,Return to Oz,27000000
2057,The Newton Boys,27000000
2058,Suspect Zero,27000000
2059,Martian Child,27000000
2060,Formula 51,27000000
2061,Flawless,27000000
2062,Mindhunters,27000000
2063,What Just Happened,27000000
2064,The Statement,27000000
2065,The Magic Flute,27000000
2066,Rules Donâ\x80\x99t Apply,26700000
2067,Paul Blart: Mall Cop,26000000
2068,Freaky Friday,26000000
2069,The 40 Year-old Virgin,26000000
2070,Shakespeare in Love,26000000
2071,Kindergarten Cop,26000000
2072,Pineapple Express,26000000
2073,Philadelphia,26000000
2074,Ever After: A Cinderella Story,26000000
2075,Flatliners,26000000
2076,Open Range,26000000
2077,Red Eye,26000000
2078,New Yearâ\x80\x99s Eve,26000000
2079,A Bridge Too Far,26000000
2080,Pain & Gain,26000000
2081,Final Destination 2,26000000
2082,O Brother Where Art Thou?,26000000
2083,In Good Company,26000000
2084,Legion,26000000
2085,Lawless,26000000
2086,Clockstoppers,26000000
2087,Silverado,26000000
2088,Brothers,26000000
2089,The Best of Me,26000000
2090,Agent Cody Banks 2: Destination London,26000000
2091,Original Sin,26000000
2092,The Raven,26000000
2093,Welcome to Mooseport,26000000
2094,Highlander: The Final Dimension,26000000
2095,Self/Less,26000000
2096,The Curse of the Jade Scorpion,26000000
2097,The Fifth Estate,26000000
2098,Blood and Wine,26000000
2099,Blood Ties,26000000
2100,"""The Grimm Brothers Snow White""",26000000
2101,Viy,26000000
2102,Accidental Love,26000000
2103,The Face of an Angel,26000000
2104,Flipper,25530000
2105,The Constant Gardener,25500000
2106,W.,25100000
2107,The Passion of the Christ,25000000
2108,Mrs. Doubtfire,25000000
2109,Rain Man,25000000
2110,The Help,25000000
2111,Hidden Figures,25000000
2112,Gran Torino,25000000
2113,Taken,25000000
2114,Ride Along,25000000
2115,The Bodyguard,25000000
2116,Schindlerâ\x80\x99s List,25000000
2117,Legally Blonde 2: Red White & Blonde,25000000
2118,Scooby-Doo 2: Monsters Unleashed,25000000
2119,Anchorman: The Legend of Ron Burgundy,25000000
2120,Freddy vs. Jason,25000000
2121,Bridge to Terabithia,25000000
2122,Jimmy Neutron: Boy Genius,25000000
2123,Cloverfield,25000000
2124,Dear John,25000000
2125,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000
2126,Parental Guidance,25000000
2127,The Untouchables,25000000
2128,No Country for Old Men,25000000
2129,"""Bridget Joness Diary""",25000000
2130,Chocolat,25000000
2131,No Strings Attached,25000000
2132,Contraband,25000000
2133,A Dogâ\x80\x99s Purpose,25000000
2134,The Lucky One,25000000
2135,Tombstone,25000000
2136,Romeo Must Die,25000000
2137,The Omen,25000000
2138,Final Destination 3,25000000
2139,"""Madeas Big Happy Family""",25000000
2140,"""Tyler Perrys A Madea Christmas""",25000000
2141,Finding Neverland,25000000
2142,The Grey,25000000
2143,Hide and Seek,25000000
2144,Cobra,25000000
2145,The House Bunny,25000000
2146,Agent Cody Banks,25000000
2147,Nanny McPhee,25000000
2148,Goodfellas,25000000
2149,The Giver,25000000
2150,Scarface,25000000
2151,Nothing To Lose,25000000
2152,The Last Emperor,25000000
2153,The Night Before,25000000
2154,The Beverly Hillbillies,25000000
2155,The Hours,25000000
2156,Money Talks,25000000
2157,There Will Be Blood,25000000
2158,The Wild Thornberrys Movie,25000000
2159,Rugrats Go Wild,25000000
2160,The Sisterhood of the Traveling Pants,25000000
2161,Undercover Brother,25000000
2162,August: Osage County,25000000
2163,Kiss of the Dragon,25000000
2164,Million Dollar Arm,25000000
2165,Beauty Shop,25000000
2166,What a Girl Wants,25000000
2167,Jeepers Creepers II,25000000
2168,Peppermint,25000000
2169,Good Luck Chuck,25000000
2170,Cradle 2 the Grave,25000000
2171,"""Shes the Man""",25000000
2172,The Gambler,25000000
2173,Mr. Beanâ\x80\x99s Holiday,25000000
2174,Motherâ\x80\x99s Day,25000000
2175,Bride of Chucky,25000000
2176,Fist Fight,25000000
2177,August Rush,25000000
2178,Anacondas: The Hunt for the Blood Orchid,25000000
2179,The Sitter,25000000
2180,Elizabeth,25000000
2181,Tora Tora Tora,25000000
2182,Spice World,25000000
2183,Draft Day,25000000
2184,The Shawshank Redemption,25000000
2185,Rings,25000000
2186,Dance Flick,25000000
2187,Crocodile Dundee in Los Angeles,25000000
2188,Kingpin,25000000
2189,Ice Princess,25000000
2190,"""Dont Be Afraid of the Dark""",25000000
2191,The Losers,25000000
2192,Fighting,25000000
2193,War,25000000
2194,Don Juan DeMarco,25000000
2195,A Lot Like Love,25000000
2196,He Got Game,25000000
2197,The Eagle,25000000
2198,Shaun the Sheep,25000000
2199,Shark Night 3D,25000000
2200,CHiPS,25000000
2201,Punch-Drunk Love,25000000
2202,Eurotrip,25000000
2203,Father Figures,25000000
2204,The Ruins,25000000
2205,The Counselor,25000000
2206,Unaccompanied Minors,25000000
2207,Bright Lights Big City,25000000
2208,Half Past Dead,25000000
2209,Legend,25000000
2210,The Adventures of Pinocchio,25000000
2211,The Greatest Game Ever Played,25000000
2212,The Box,25000000
2213,The Next Best Thing,25000000
2214,My Soul to Take,25000000
2215,The Girl Next Door,25000000
2216,Fly Me To the Moon,25000000
2217,Maximum Risk,25000000
2218,Stealing Harvard,25000000
2219,Hot Rod,25000000
2220,Warrior,25000000
2221,"""Angelas Ashes""",25000000
2222,Battle of the Sexes,25000000
2223,Cirque du Soleil: Worlds Away,25000000
2224,The 33,25000000
2225,Lifeforce,25000000
2226,The Conspirator,25000000
2227,The Powerpuff Girls,25000000
2228,The Lords of Dogtown,25000000
2229,Big Trouble in Little China,25000000
2230,Michael Collins,25000000
2231,Stop-Loss,25000000
2232,Gettysburg,25000000
2233,Abandon,25000000
2234,Straw Dogs,25000000
2235,Brokedown Palace,25000000
2236,Possession,25000000
2237,Mrs. Winterbourne,25000000
2238,Stone Cold,25000000
2239,The Road,25000000
2240,The Hoax,25000000
2241,Sheena,25000000
2242,Underclassman,25000000
2243,"""Say It Isnt So""",25000000
2244,"""The Worlds Fastest Indian""",25000000
2245,Deception,25000000
2246,Tank Girl,25000000
2247,"""Kings Ransom""",25000000
2248,Blindness,25000000
2249,Carnage,25000000
2250,Tulip Fever,25000000
2251,BloodRayne,25000000
2252,Legend,25000000
2253,Bad Lieutenant: Port of Call New Orleans,25000000
2254,Jane Got a Gun,25000000
2255,Me and Orson Welles,25000000
2256,Venom,25000000
2257,Where the Truth Lies,25000000
2258,Without Limits,25000000
2259,On the Road,25000000
2260,Les petits mouchoirs,25000000
2261,Love Ranch,25000000
2262,Yi ge ren de wu lin,25000000
2263,"""Sammys avonturen: De geheime doorgang""",25000000
2264,Belka i Strelka. Zvezdnye sobaki,25000000
2265,Matilda,25000000
2266,La vÃ©ritable histoire du Chat BottÃ©,25000000
2267,Ironclad,25000000
2268,Red Sky,25000000
2269,Waterloo,25000000
2270,The Adventurer: The Curse of the Midas Box,25000000
2271,Reagan,25000000
2272,Captive State,25000000
2273,Dangerous Liaisons,24200000
2274,Star Trek IV: The Voyage Home,24000000
2275,Scream 2,24000000
2276,Old School,24000000
2277,Rocky Balboa,24000000
2278,Think Like a Man Too,24000000
2279,Fences,24000000
2280,The Whole Nine Yards,24000000
2281,Footloose,24000000
2282,Going in Style,24000000
2283,Point Break,24000000
2284,The Fisher King,24000000
2285,I Still Know What You Did Last Summer,24000000
2286,Hitman,24000000
2287,Hello Dolly,24000000
2288,Return to Me,24000000
2289,The Men Who Stare at Goats,24000000
2290,Zack and Miri Make a Porno,24000000
2291,Double Take,24000000
2292,Girl Interrupted,24000000
2293,Nurse Betty,24000000
2294,Piranha 3D,24000000
2295,Faster,24000000
2296,The Wiz,24000000
2297,Win a Date with Tad Hamilton!,24000000
2298,Muppets From Space,24000000
2299,Ready to Rumble,24000000
2300,"""I Dont Know How She Does It""",24000000
2301,Play it to the Bone,24000000
2302,Dhoom 3,24000000
2303,Beyond the Sea,24000000
2304,Hauru no ugoku shiro,24000000
2305,Meet the Deedles,24000000
2306,The Thief and the Cobbler,24000000
2307,The Bridge of San Luis Rey,24000000
2308,Flood,24000000
2309,Zombieland,23600000
2310,Star Wars Ep. V: The Empire Strikes Back,23000000
2311,The Waterboy,23000000
2312,The Naked Gun 2Â½: The Smell of Fear,23000000
2313,Bad Boys,23000000
2314,The Wedding Ringer,23000000
2315,Final Destination,23000000
2316,King Kong,23000000
2317,The Ides of March,23000000
2318,Pitch Black,23000000
2319,Someone Like You,23000000
2320,Her,23000000
2321,Joy Ride,23000000
2322,Kari gurashi no Arietti,23000000
2323,Haywire,23000000
2324,Anywhere But Here,23000000
2325,Vanity Fair,23000000
2326,Eddie the Eagle,23000000
2327,Jaws 4: The Revenge,23000000
2328,The Crew,23000000
2329,"""Marvins Room""",23000000
2330,Chasing Liberty,23000000
2331,The Longshots,23000000
2332,The End of the Affair,23000000
2333,Harley Davidson and the Marlboro Man,23000000
2334,In the Valley of Elah,23000000
2335,Coco avant Chanel,23000000
2336,ChÃ©ri,23000000
2337,Redemption,23000000
2338,Rogue,23000000
2339,ChÄ\x81i dÃ\xa0n zhuÄ\x81njiÄ\x81,23000000
2340,Shi Yue Wei Cheng,23000000
2341,Spaceballs,22700000
2342,1408,22500000
2343,Nocturnal Animals,22500000
2344,The Water Diviner,22500000
2345,Ghost,22000000
2346,"""Theres Something About Mary""",22000000
2347,The Santa Clause,22000000
2348,The Game Plan,22000000
2349,The Rookie,22000000
2350,The Bridges of Madison County,22000000
2351,Son of God,22000000
2352,The Animal,22000000
2353,The Hundred-Foot Journey,22000000
2354,Gandhi,22000000
2355,Underworld,22000000
2356,The Net,22000000
2357,Diary of a Wimpy Kid: Dog Days,22000000
2358,I Am Sam,22000000
2359,Derailed,22000000
2360,The Informant!,22000000
2361,Delivery Man,22000000
2362,Hail Caesar!,22000000
2363,Jay and Silent Bob Strike Back,22000000
2364,Shadowlands,22000000
2365,Traitor,22000000
2366,Deuce Bigalow: European Gigolo,22000000
2367,Diary of a Wimpy Kid: The Long Haul,22000000
2368,Mad Money,22000000
2369,Homefront,22000000
2370,Igor,22000000
2371,Saving Silverman,22000000
2372,Summer of Sam,22000000
2373,The Glass House,22000000
2374,The Transporter Refueled,22000000
2375,The Island,22000000
2376,Josie and the Pussycats,22000000
2377,Hit & Run,22000000
2378,The Little Vampire,22000000
2379,I Heart Huckabees,22000000
2380,Roman J. Israel Esq.,22000000
2381,Out of the Furnace,22000000
2382,RoboCop 3,22000000
2383,Dudley Do-Right,22000000
2384,Just Getting Started,22000000
2385,Megiddo: Omega Code 2,22000000
2386,Darling Lili,22000000
2387,The Libertine,22000000
2388,Zwartboek,22000000
2389,Before I Go to Sleep,22000000
2390,Stone,22000000
2391,Joyeux NoÃ«l,22000000
2392,Metegol,22000000
2393,Sorcerer,21600000
2394,MoliÃ¨re,21600000
2395,Michael Clayton,21500000
2396,Arlington Road,21500000
2397,My Fellow Americans,21500000
2398,To Rome with Love,21500000
2399,Silver Linings Playbook,21000000
2400,Blockers,21000000
2401,South Park: Bigger Longer & Uncut,21000000
2402,Firefox,21000000
2403,Death at a Funeral,21000000
2404,Teenage Mutant Ninja Turtles III,21000000
2405,Hardball,21000000
2406,For Colored Girls,21000000
2407,Freedom Writers,21000000
2408,Kidnap,21000000
2409,The Transporter,21000000
2410,Never Back Down,21000000
2411,Tinker Tailor Soldier Spy,21000000
2412,The Bachelor,21000000
2413,The Rage: Carrie 2,21000000
2414,Swing Vote,21000000
2415,Away We Go,21000000
2416,Moonlight Mile,21000000
2417,The Beaver,21000000
2418,Bitter Harvest,21000000
2419,Molly,21000000
2420,eXistenZ,20700000
2421,The Best Little Whorehouse in Texas,20500000
2422,Pulse,20500000
2423,Beauty and the Beast,20000000
2424,Raiders of the Lost Ark,20000000
2425,Home Alone 2: Lost in New York,20000000
2426,Close Encounters of the Third Kind,20000000
2427,Beverly Hills Cop II,20000000
2428,La La Land,20000000
2429,The Conjuring,20000000
2430,Bringing Down the House,20000000
2431,Wonder,20000000
2432,The Silence of the Lambs,20000000
2433,"""Waynes World""",20000000
2434,Jackass 3D,20000000
2435,Bad Moms,20000000
2436,Jaws 2,20000000
2437,Beverly Hills Chihuahua,20000000
2438,Tammy,20000000
2439,Are We There Yet?,20000000
2440,The Descendants,20000000
2441,School of Rock,20000000
2442,Disturbia,20000000
2443,Free Willy,20000000
2444,Tyler Perryâ\x80\x99s Boo! A Madea Halloween,20000000
2445,Mortal Kombat,20000000
2446,White Chicks,20000000
2447,Obsessed,20000000
2448,Holes,20000000
2449,"""Tyler Perrys Madeas Witness Protection""",20000000
2450,The Last Song,20000000
2451,Why Did I Get Married Too?,20000000
2452,La vita Ã¨ bella,20000000
2453,12 Years a Slave,20000000
2454,Drumline,20000000
2455,Me Before You,20000000
2456,Barbershop: The Next Cut,20000000
2457,Edward Scissorhands,20000000
2458,A Simple Favor,20000000
2459,Selma,20000000
2460,Popeye,20000000
2461,Date Movie,20000000
2462,Peter Pan: Return to Neverland,20000000
2463,The Jungle Book 2,20000000
2464,Premonition,20000000
2465,Tyler Perryâ\x80\x99s Boo 2! A Madea Halloween,20000000
2466,Boogeyman,20000000
2467,The Tigger Movie,20000000
2468,Spotlight,20000000
2469,Acrimony,20000000
2470,Max,20000000
2471,Meet the Browns,20000000
2472,Orphan,20000000
2473,The Star,20000000
2474,Epic Movie,20000000
2475,Lakeview Terrace,20000000
2476,The Grudge 2,20000000
2477,Nerve,20000000
2478,Conan the Barbarian,20000000
2479,How Stella Got Her Groove Back,20000000
2480,"""Bill & Teds Bogus Journey""",20000000
2481,Man of the Year,20000000
2482,Risen,20000000
2483,Vampires Suck,20000000
2484,The Black Hole,20000000
2485,The American,20000000
2486,Selena,20000000
2487,A Very Harold & Kumar 3D Christmas,20000000
2488,Eternal Sunshine of the Spotless Mind,20000000
2489,Texas Chainsaw 3D,20000000
2490,Babel,20000000
2491,This is Where I Leave You,20000000
2492,Doubt,20000000
2493,Team America: World Police,20000000
2494,Copycat,20000000
2495,Scary Movie V,20000000
2496,"""Shes Out of My League""",20000000
2497,Milk,20000000
2498,Paint Your Wagon,20000000
2499,The Debt,20000000
2500,Ghost Ship,20000000
2501,Daybreakers,20000000
2502,The Bank Job,20000000
2503,Wild Things,20000000
2504,The Stepfather,20000000
2505,High Fidelity,20000000
2506,Stick It,20000000
2507,One Missed Call,20000000
2508,Eye for an Eye,20000000
2509,Street Kings,20000000
2510,"""The Worlds End""",20000000
2511,From Dusk Till Dawn,20000000
2512,You Again,20000000
2513,Nancy Drew,20000000
2514,Alpha and Omega 3D,20000000
2515,Endless Love,20000000
2516,The Covenant,20000000
2517,Monte Carlo,20000000
2518,Stay Alive,20000000
2519,2 For the Money,20000000
2520,Rough Night,20000000
2521,Psycho,20000000
2522,Quigley Down Under,20000000
2523,To Die For,20000000
2524,Shorts,20000000
2525,Vampires,20000000
2526,Appaloosa,20000000
2527,Secret in Their Eyes,20000000
2528,Yu-Gi-Oh,20000000
2529,Reign Over Me,20000000
2530,"""My Best Friends Girl""",20000000
2531,Georgia Rule,20000000
2532,Under the Rainbow,20000000
2533,Ladyhawke,20000000
2534,Into the Wild,20000000
2535,Simon Birch,20000000
2536,"""Poohs Heffalump Movie""",20000000
2537,School for Scoundrels,20000000
2538,Silent Hill: Revelation 3D,20000000
2539,Home for the Holidays,20000000
2540,The Zookeeperâ\x80\x99s Wife,20000000
2541,Fired Up,20000000
2542,Kung Fu Hustle,20000000
2543,The Country Bears,20000000
2544,Flatliners,20000000
2545,Dead Silence,20000000
2546,21 Grams,20000000
2547,Armored,20000000
2548,The Kite Runner,20000000
2549,Paparazzi,20000000
2550,A Guy Thing,20000000
2551,The Greatest Story Ever Told,20000000
2552,Loser,20000000
2553,Twilight,20000000
2554,Capitalism: A Love Story,20000000
2555,Lockout,20000000
2556,Disaster Movie,20000000
2557,"""Whats Your Number?""",20000000
2558,The Man Who Knew Too Little,20000000
2559,Crank 2: High Voltage,20000000
2560,Burnt,20000000
2561,Envy,20000000
2562,One Night with the King,20000000
